0  0 0  0  
1  2004.47  1  -5.91  
2  1131.16  2  2.19  
3  834.51  3  20.5  
4  1084.5  4  14.78  
5  992.36  5  -0.8  
6  1024.54  6  27.73  
7  706.54  7  52.49  
8  1250.37  8  26.65  
9  1200.14  9  1.95  
10  1126.83  10  -0.59  
11  982.34  11  8.16  
12  1361.38  12  -8.97  
13  1021.97  13  12.74  
14  1060.08  14  31.06  
15  1008.13  15  -43.57  
16  852.85  16  -42.24  
17  955.32  17  -37.7  
18  1009.46  18  16.38  
19  869.63  19  2.2  
20  965.79  20  10.25  
21  1012.62  21  -9.14  
22  993.55  22  12.83  
23  814.38  23  8.63  
24  1048.38  24  -30.95  
25  816.3  25  -25.65  
26  1061.19  26  30.22  
27  971.24  27  10.97  
28  846.91  28  7.43  
29  940.4  29  6.61  
30  976.78  30  -27.75  
31  797.46  31  7.82  
32  1051.41  32  11.78  
33  1022.81  33  -13.23  
34  849.49  34  1.99  
35  954.39  35  -30.52  
36  876.67  36  4.5  
37  971.46  37  11.45  
38  889.04  38  7.63  
39  998.72  39  -41.86  
40  866.81  40  20.99  
41  922.2  41  11.58  
42  974.92  42  -2.39  
43  823.3  43  18.55  
44  775.55  44  9.74  
45  1005.96  45  9.11  
46  1223.12  46  8.1  
47  1056.52  47  30.66  
48  960.02  48  -8.95  
49  1129.44  49  9.67  
50  981.95  50  11.37  
51  921.56  51  29.51  
52  1236.38  52  25.56  
53  979.62  53  -11.07  
54  884.53  54  -12.62  
55  1144.83  55  12.67  
56  1262.15  56  5.84  
57  875.53  57  22.95  
58  1188.6  58  14.25  
59  938.13  59  42.79  
60  910.14  60  -4.61  
61  886.49  61  -7.27  
62  840.25  62  9.73  
63  962.13  63  4.58  
64  1298.87  64  32.71  
65  916.85  65  -4.03  
66  906.71  66  7.08  
67  987.74  67  -45.89  
68  1065.68  68  7.29  
69  902.77  69  -10.92  
70  1143.46  70  12.67  
71  824.79  71  -14.13  
72  1180.52  72  16.4  
73  882.98  73  -32.1  
74  815.01  74  -18.21  
75  811.68  75  -1.43  
76  895.64  76  19.37  
77  722.12  77  -19.13  
78  1119.28  78  -32.29  
79  944.53  79  17.73  
80  1104.49  80  -7.0  
81  1113.49  81  -2.22  
82  886.14  82  14.44  
83  1226.14  83  16.74  
84  822.91  84  7.71  
85  1131.65  85  0.87  
86  965.73  86  -31.29  
87  942.61  87  5.42  
88  1117.95  88  -48.63  
89  1090.85  89  -3.83  
90  916.75  90  -1.04  
91  963.42  91  28.42  
92  1068.6  92  6.51  
93  1372.96  93  24.99  
94  866.65  94  6.48  
95  931.16  95  13.4  
96  1013.27  96  -0.14  
97  1057.08  97  -8.35  
98  2241.05  98  -14.93  
99  1156.9  99  -3.62  
100  1043.6  100  0.72  
101  755.11  101  -5.62  
102  911.0  102  21.44  
103  1101.39  103  30.96  
104  931.47  104  -10.5  
105  854.18  105  20.95  
106  1073.38  106  5.02  
107  1020.18  107  2.26  
108  808.41  108  3.36  
109  863.21  109  18.06  
110  1054.13  110  7.9  
111  926.16  111  3.99  
112  881.99  112  26.26  
113  1169.11  113  -32.76  
114  1084.39  114  2.05  
115  1034.96  115  16.68  
116  874.54  116  24.18  
117  878.23  117  -63.32  
118  869.74  118  -0.94  
119  937.59  119  2.21  
120  964.44  120  -5.19  
121  1071.97  121  -30.31  
122  1191.09  122  36.95  
123  807.62  123  21.88  
124  944.85  124  -55.04  
125  945.64  125  10.5  
126  966.94  126  6.26  
127  947.55  127  25.58  
128  1029.45  128  -27.48  
129  998.84  129  12.29  
130  859.18  130  -4.52  
131  1060.3  131  36.11  
132  791.36  132  27.72  
133  1138.81  133  4.14  
134  1080.76  134  13.88  
135  867.02  135  11.83  
136  1101.56  136  30.66  
137  917.78  137  -11.64  
138  1005.28  138  -65.72  
139  707.85  139  -3.57  
140  913.31  140  13.81  
141  795.19  141  8.75  
142  779.58  142  -32.9  
143  1102.2  143  24.48  
144  804.28  144  10.78  
145  926.24  145  14.94  
146  773.4  146  26.09  
147  976.65  147  6.34  
148  977.88  148  8.57  
149  892.3  149  -10.84  
150  914.02  150  8.98  
151  839.35  151  8.15  
152  949.66  152  6.55  
153  933.49  153  -9.31  
154  1085.48  154  -20.04  
155  886.8  155  19.26  
156  986.75  156  2.31  
157  801.54  157  -46.83  
158  1075.73  158  9.55  
159  1012.01  159  6.85  
160  1020.24  160  15.07  
161  1027.16  161  -5.96  
162  965.91  162  -4.33  
163  864.26  163  -1.08  
164  1111.17  164  1.59  
165  1084.64  165  -17.0  
166  907.59  166  -24.4  
167  1056.47  167  5.51  
168  1006.16  168  -4.75  
169  815.98  169  14.5  
170  1000.56  170  -6.06  
171  811.37  171  -38.26  
172  767.69  172  21.28  
173  829.91  173  27.96  
174  891.51  174  0.05  
175  864.44  175  -27.19  
176  1073.19  176  -21.53  
177  942.95  177  -40.82  
178  939.17  178  -26.65  
179  762.52  179  30.99  
180  911.63  180  15.84  
181  769.53  181  15.04  
182  977.22  182  31.49  
183  926.5  183  16.2  
184  1062.62  184  -0.38  
185  862.41  185  -14.01  
186  960.72  186  7.94  
187  1033.41  187  6.67  
188  993.76  188  14.06  
189  1027.32  189  13.6  
190  1064.32  190  4.12  
191  1135.19  191  19.61  
192  929.09  192  -3.03  
193  1136.01  193  6.01  
194  1206.9  194  32.37  
195  991.18  195  19.98  
196  943.22  196  -0.05  
197  994.96  197  14.66  
198  931.33  198  2.25  
199  925.49  199  6.72  
200  869.33  200  14.05  
201  1213.5  201  0.61  
202  900.83  202  -15.95  
203  871.93  203  -16.95  
204  972.44  204  13.22  
205  931.31  205  41.59  
206  925.15  206  -2.9  
207  938.67  207  17.45  
208  1095.07  208  -24.7  
209  958.29  209  9.65  
210  886.44  210  22.91  
211  1028.69  211  21.37  
212  915.95  212  4.0  
213  966.74  213  19.01  
214  809.44  214  4.53  
215  1024.63  215  24.1  
216  1259.44  216  1.45  
217  953.16  217  14.03  
218  850.22  218  15.12  
219  973.58  219  -17.15  
220  840.63  220  32.74  
221  901.03  221  -9.12  
222  813.46  222  -30.21  
223  976.35  223  -22.0  
224  1047.75  224  -37.92  
225  1213.36  225  18.35  
226  978.9  226  -6.94  
227  942.73  227  19.33  
228  1024.27  228  17.74  
229  983.1  229  -34.7  
230  1130.68  230  6.69  
231  978.55  231  5.17  
232  914.12  232  -1.89  
233  1012.28  233  -51.61  
234  973.88  234  0.36  
235  859.94  235  15.48  
236  1103.58  236  -7.86  
237  1218.65  237  13.76  
238  959.11  238  28.82  
239  790.6  239  14.15  
240  1068.86  240  29.2  
241  1203.36  241  -30.52  
242  883.26  242  -16.23  
243  1110.5  243  17.14  
244  1061.64  244  7.62  
245  1076.24  245  4.95  
246  1024.35  246  -32.15  
247  1112.09  247  6.38  
248  1227.57  248  17.11  
249  860.24  249  -4.71  
250  1003.51  250  17.19  
251  1038.61  251  -0.29  
252  1178.71  252  -31.66  
253  910.03  253  12.03  
254  1162.47  254  -3.43  
255  1411.65  255  33.64  
256  907.06  256  -40.79  
257  1086.48  257  18.97  
258  1300.82  258  29.1  
259  1059.91  259  20.74  
260  916.37  260  -3.98  
261  1096.45  261  -27.5  
262  854.37  262  -2.45  
263  1152.7  263  -1.56  
264  1284.82  264  23.77  
265  1095.63  265  29.3  
266  772.5  266  -29.51  
267  833.24  267  10.34  
268  984.0  268  -23.82  
269  1029.11  269  33.79  
270  848.22  270  -23.81  
271  1035.75  271  16.65  
272  1158.48  272  8.19  
273  1081.92  273  12.54  
274  1135.24  274  -19.77  
275  1263.72  275  21.13  
276  957.43  276  20.13  
277  1140.51  277  17.77  
278  1126.1  278  -0.32  
279  976.38  279  4.67  
280  1154.64  280  21.4  
281  919.67  281  -2.44  
282  802.96  282  8.68  
283  1050.35  283  16.89  
284  855.42  284  -12.7  
285  921.15  285  -7.07  
286  1082.22  286  18.82  
287  993.37  287  -65.69  
288  1062.88  288  -17.68  
289  923.35  289  2.64  
290  1125.8  290  -8.22  
291  1252.86  291  -35.47  
292  1185.38  292  -25.4  
293  847.67  293  25.57  
294  753.44  294  -12.95  
295  974.59  295  -39.04  
296  735.69  296  -13.67  
297  1040.13  297  -8.93  
298  958.37  298  12.99  
299  1039.92  299  6.22  
300  1032.99  300  13.87  
301  1032.7  301  4.29  
302  970.38  302  22.02  
303  1164.51  303  -3.02  
304  1051.04  304  -3.19  
305  1408.56  305  9.17  
306  957.0  306  3.41  
307  929.26  307  2.9  
308  1142.01  308  11.79  
309  894.1  309  5.87  
310  909.56  310  -8.75  
311  980.76  311  2.6  
312  1033.79  312  -2.95  
313  924.31  313  -13.64  
314  780.62  314  -3.76  
