x-axis,1,2,3
second,Volt,Volt,Volt
-4.200000E-06,+2.694874338806E+00,+2.448241200298E+00,+2.505025125574E+00
-4.195000E-06,+2.373266302049E+00,+2.372864316683E+00,+2.660804018378E+00
-4.190000E-06,+2.363216050901E+00,+2.448241200298E+00,+2.580402009189E+00
-4.185000E-06,+2.534070320427E+00,+2.372864316683E+00,+2.419597990811E+00
-4.180000E-06,+2.624522580765E+00,+2.774874362629E+00,+2.344221107196E+00
-4.175000E-06,+2.684824087657E+00,+2.523618083913E+00,+2.500000000000E+00
-4.170000E-06,+2.453668311238E+00,+2.403015070129E+00,+2.620603013784E+00
-4.165000E-06,+2.373266302049E+00,+2.370351753896E+00,+2.575376883615E+00
-4.160000E-06,+2.458693436813E+00,+2.410552758491E+00,+2.457286432618E+00
-4.155000E-06,+2.684824087657E+00,+2.729648232460E+00,+2.379396986216E+00
-4.150000E-06,+2.684824087657E+00,+2.450753763085E+00,+2.464824120980E+00
-4.145000E-06,+2.373266302049E+00,+2.443216074724E+00,+2.620603013784E+00
-4.140000E-06,+2.373266302049E+00,+2.408040195704E+00,+2.580402009189E+00
-4.135000E-06,+2.458693436813E+00,+2.408040195704E+00,+2.457286432618E+00
-4.130000E-06,+2.619497455191E+00,+2.732160795247E+00,+2.417085428024E+00
-4.125000E-06,+2.619497455191E+00,+2.483417079318E+00,+2.502512562787E+00
-4.120000E-06,+2.453668311238E+00,+2.408040195704E+00,+2.660804018378E+00
-4.115000E-06,+2.363216050901E+00,+2.367839191109E+00,+2.615577888209E+00
-4.110000E-06,+2.534070320427E+00,+2.408040195704E+00,+2.419597990811E+00
-4.105000E-06,+2.694874338806E+00,+2.732160795247E+00,+2.339195981622E+00
-4.100000E-06,+2.694874338806E+00,+2.450753763085E+00,+2.469849246554E+00
-4.095000E-06,+2.373266302049E+00,+2.410552758491E+00,+2.660804018378E+00
-4.090000E-06,+2.378291427623E+00,+2.367839191109E+00,+2.540201004595E+00
-4.085000E-06,+2.458693436813E+00,+2.370351753896E+00,+2.417085428024E+00
-4.080000E-06,+2.694874338806E+00,+2.732160795247E+00,+2.379396986216E+00
-4.075000E-06,+2.694874338806E+00,+2.448241200298E+00,+2.502512562787E+00
-4.070000E-06,+2.453668311238E+00,+2.438190949149E+00,+2.623115576571E+00
-4.065000E-06,+2.363216050901E+00,+2.362814065535E+00,+2.615577888209E+00
-4.060000E-06,+2.534070320427E+00,+2.448241200298E+00,+2.457286432618E+00
-4.055000E-06,+2.684824087657E+00,+2.732160795247E+00,+2.376884423429E+00
-4.050000E-06,+2.614472329617E+00,+2.450753763085E+00,+2.469849246554E+00
