x-axis,1,2,3
second,Volt,Volt,Volt
-5.000000E-06,+2.617964848876E+00,+2.472864292562E+00,+1.094302767888E+00
-4.995000E-06,+2.778768867254E+00,+2.633668310940E+00,+1.094302767888E+00
-4.990000E-06,+2.457160830498E+00,+2.553266301751E+00,+1.094302767888E+00
-4.985000E-06,+2.537562839687E+00,+2.633668310940E+00,+1.094302767888E+00
-4.980000E-06,+2.296356812119E+00,+2.472864292562E+00,+1.094302767888E+00
-4.975000E-06,+2.612939723302E+00,+2.472864292562E+00,+1.094302767888E+00
-4.970000E-06,+2.617964848876E+00,+2.714070320129E+00,+1.094302767888E+00
-4.965000E-06,+2.537562839687E+00,+2.553266301751E+00,+1.094302767888E+00
-4.960000E-06,+2.612939723302E+00,+2.633668310940E+00,+1.094302767888E+00
-4.955000E-06,+2.371733695734E+00,+2.472864292562E+00,+1.094302767888E+00
-4.950000E-06,+2.612939723302E+00,+2.392462283373E+00,+1.094302767888E+00
-4.945000E-06,+2.693341732491E+00,+2.709045194555E+00,+1.094302767888E+00
-4.940000E-06,+2.537562839687E+00,+2.553266301751E+00,+1.094302767888E+00
-4.935000E-06,+2.612939723302E+00,+2.553266301751E+00,+1.094302767888E+00
-4.930000E-06,+2.296356812119E+00,+2.553266301751E+00,+1.094302767888E+00
-4.925000E-06,+2.693341732491E+00,+2.467839166988E+00,+1.094302767888E+00
-4.920000E-06,+2.617964848876E+00,+2.633668310940E+00,+1.094302767888E+00
-4.915000E-06,+2.693341732491E+00,+2.553266301751E+00,+1.094302767888E+00
-4.910000E-06,+2.537562839687E+00,+2.553266301751E+00,+1.094302767888E+00
-4.905000E-06,+2.296356812119E+00,+2.553266301751E+00,+1.094302767888E+00
-4.900000E-06,+2.612939723302E+00,+2.472864292562E+00,+1.094302767888E+00
-4.895000E-06,+2.693341732491E+00,+2.709045194555E+00,+1.094302767888E+00
-4.890000E-06,+2.537562839687E+00,+2.553266301751E+00,+1.094302767888E+00
-4.885000E-06,+2.532537714113E+00,+2.628643185366E+00,+1.094302767888E+00
-4.880000E-06,+2.296356812119E+00,+2.553266301751E+00,+1.094302767888E+00
-4.875000E-06,+2.612939723302E+00,+2.392462283373E+00,+1.094302767888E+00
-4.870000E-06,+2.532537714113E+00,+2.709045194555E+00,+1.094302767888E+00
-4.865000E-06,+2.617964848876E+00,+2.628643185366E+00,+1.094302767888E+00
-4.860000E-06,+2.537562839687E+00,+2.628643185366E+00,+1.094302767888E+00
-4.855000E-06,+2.296356812119E+00,+2.392462283373E+00,+1.094302767888E+00
-4.850000E-06,+2.612939723302E+00,+2.392462283373E+00,+1.094302767888E+00
-4.845000E-06,+2.693341732491E+00,+2.633668310940E+00,+1.094302767888E+00
-4.840000E-06,+2.537562839687E+00,+2.472864292562E+00,+1.094302767888E+00
-4.835000E-06,+2.532537714113E+00,+2.548241176177E+00,+1.094302767888E+00
-4.830000E-06,+2.296356812119E+00,+2.472864292562E+00,+1.094302767888E+00
-4.825000E-06,+2.617964848876E+00,+2.392462283373E+00,+1.094302767888E+00
-4.820000E-06,+2.612939723302E+00,+2.633668310940E+00,+1.094302767888E+00
-4.815000E-06,+2.617964848876E+00,+2.472864292562E+00,+1.094302767888E+00
-4.810000E-06,+2.612939723302E+00,+2.628643185366E+00,+1.094302767888E+00
